iter	Passed	Remaining
0	155	15359
1	165	8129
2	174	5630
3	183	4403
4	194	3702
5	201	3158
6	234	3111
7	241	2772
8	250	2528
9	256	2309
10	262	2124
11	267	1962
12	272	1826
13	277	1706
14	282	1601
15	287	1508
16	294	1439
17	300	1367
18	307	1310
19	315	1262
20	320	1204
21	326	1155
22	330	1108
23	339	1074
24	344	1034
25	350	997
26	356	963
27	363	935
28	372	912
29	381	889
30	387	862
31	394	837
32	406	825
33	427	830
34	434	806
35	444	790
36	450	766
37	454	742
38	460	719
39	465	698
40	471	678
41	476	658
42	481	637
43	487	620
44	493	602
45	497	583
46	501	566
47	506	548
48	510	531
49	514	514
50	518	498
51	522	482
52	526	466
53	530	451
54	534	437
55	538	422
56	541	408
57	545	395
58	549	382
59	553	369
60	557	356
61	561	344
62	565	332
63	568	319
64	574	309
65	579	298
66	582	287
67	586	275
68	589	265
69	593	254
70	596	243
71	600	233
72	605	223
73	609	214
74	613	204
75	618	195
76	623	186
77	628	177
78	634	168
79	640	160
80	644	151
81	649	142
82	653	133
83	657	125
84	661	116
85	666	108
86	670	100
87	674	91
88	678	83
89	681	75
90	685	67
91	688	59
92	690	52
93	694	44
94	697	36
95	701	29
96	705	21
97	710	14
98	713	7
99	717	0
